Memory,Depth,Precision,Recall,F1_Score,
10,3,0.522727,0.851852,0.647887,
10,3,0.489796,0.888889,0.631579,
10,3,0.675676,0.925926,0.78125,
20,3,0.787879,0.962963,0.866667,
20,3,0.735294,0.925926,0.819672,
20,3,0.826087,0.703704,0.76,
30,3,0.78125,0.925926,0.847458,
30,3,0.742857,0.962963,0.83871,
30,3,0.8125,0.962963,0.881356,
40,3,0.774194,0.888889,0.827586,
40,3,0.851852,0.851852,0.851852,
40,3,0.892857,0.925926,0.909091,
50,3,0.821429,0.851852,0.836364,
50,3,0.75,0.666667,0.705882,
50,3,0.888889,0.888889,0.888889,
60,3,0.956522,0.814815,0.88,
60,3,0.78125,0.925926,0.847458,
60,3,0.787879,0.962963,0.866667,
70,3,0.92,0.851852,0.884615,
70,3,0.83871,0.962963,0.896552,
70,3,0.862069,0.925926,0.892857,
80,3,0.75,0.888889,0.813559,
80,3,0.83871,0.962963,0.896552,
80,3,0.708333,0.62963,0.666667,
90,3,0.657143,0.851852,0.741935,
90,3,0.757576,0.925926,0.833333,
90,3,0.862069,0.925926,0.892857,
100,3,0.827586,0.888889,0.857143,
100,3,0.75,0.777778,0.763636,
100,3,0.862069,0.925926,0.892857,
200,3,0.827586,0.888889,0.857143,
200,3,0.851852,0.851852,0.851852,
200,3,0.774194,0.888889,0.827586,
300,3,0.884615,0.851852,0.867925,
300,3,0.8,0.888889,0.842105,
300,3,0.818182,0.666667,0.734694,
400,3,0.857143,0.888889,0.872727,
400,3,0.827586,0.888889,0.857143,
400,3,0.806452,0.925926,0.862069,
500,3,0.826087,0.703704,0.76,
500,3,0.766667,0.851852,0.807018,
500,3,0.785714,0.814815,0.8,
600,3,0.821429,0.851852,0.836364,
600,3,0.8125,0.962963,0.881356,
600,3,0.777778,0.777778,0.777778,
700,3,0.785714,0.814815,0.8,
700,3,0.892857,0.925926,0.909091,
700,3,0.7,0.777778,0.736842,
800,3,0.888889,0.888889,0.888889,
800,3,0.884615,0.851852,0.867925,
800,3,0.733333,0.814815,0.77193,
900,3,0.913043,0.777778,0.84,
900,3,0.857143,0.888889,0.872727,
900,3,0.846154,0.814815,0.830189,
1000,3,0.863636,0.703704,0.77551,
1000,3,0.83871,0.962963,0.896552,
1000,3,0.73913,0.62963,0.68,
