Memory,False_Positive,
10,0.141246,
10,0.137876,
10,0.140204,
20,0.02914,
20,0.0288211,
20,0.0284809,
30,0.011184,
30,0.01179,
30,0.0117368,
40,0.00487971,
40,0.00459267,
40,0.00464582,
50,0.00248769,
50,0.00282789,
50,0.00258337,
60,0.00305115,
60,0.00292357,
60,0.00281726,
70,0.000967437,
70,0.000893019,
70,0.00107375,
80,0.000605977,
80,0.000691026,
80,0.000807969,
90,0.00125448,
90,0.000914281,
90,0.00108438,
100,0.000510296,
100,0.000265779,
100,0.000446509,
1000,2.12623e-05,
1000,1.06312e-05,
1000,0,
