1,3,0.000256791,1,0.00051345,
1,3,0.000215435,1,0.000430777,
1,3,0.00028096,1,0.000561763,
2,3,0.00275229,1,0.00548948,
2,3,0.00329406,0.962963,0.00656566,
2,3,0.00225188,1,0.00449363,
3,3,0.0167183,1,0.0328867,
3,3,0.018711,1,0.0367347,
3,3,0.0158621,0.851852,0.0311442,
4,3,0.0794702,0.888889,0.145897,
4,3,0.0762712,1,0.141732,
4,3,0.0706806,1,0.132029,
5,3,0.181818,0.888889,0.301887,
5,3,0.2,0.962963,0.33121,
5,3,0.15528,0.925926,0.265957,
6,3,0.148649,0.814815,0.251429,
6,3,0.191304,0.814815,0.309859,
6,3,0.162651,1,0.279793,
7,3,0.40678,0.888889,0.55814,
7,3,0.376812,0.962963,0.541667,
7,3,0.361111,0.962963,0.525253,
8,3,0.571429,0.888889,0.695652,
8,3,0.638889,0.851852,0.730159,
8,3,0.365079,0.851852,0.511111,
9,3,0.55,0.814815,0.656716,
9,3,0.480769,0.925926,0.632911,
9,3,0.464286,0.962963,0.626506,
10,3,0.666667,0.962963,0.787879,
10,3,0.462963,0.925926,0.617284,
10,3,0.575,0.851852,0.686567,
20,3,0.75,1,0.857143,
20,3,0.634146,0.962963,0.764706,
20,3,0.685714,0.888889,0.774194,
30,3,0.69697,0.851852,0.766667,
30,3,0.78125,0.925926,0.847458,
30,3,0.787879,0.962963,0.866667,
